FirstName,LastName,BirthDate,Gender,YearlyIncome,City,StateProvinceName,EnglishCountryRegionName,TotalProductCost
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,1912.1544
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,1265.6195
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,8.2205
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,1481.9379
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,10.8423
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,1.8663
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,13.0863
Jon,Yang,1966-04-08,M,90000,Rockhampton,Queensland,Australia,41.5723
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,1898.0944
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,1265.6195
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,8.2205
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,1.8663
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,3.7363
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,41.5723
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,6.9223
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,343.6496
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,1.8663
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,3.3623
Eugene,Huang,1965-05-14,M,60000,Seaford,Victoria,Australia,13.0863
Ruben,Torres,1965-08-12,M,60000,Hobart,Tasmania,Australia,1912.1544
Ruben,Torres,1965-08-12,M,60000,Hobart,Tasmania,Australia,1251.9813
Ruben,Torres,1965-08-12,M,60000,Hobart,Tasmania,Australia,1481.9379
Ruben,Torres,1965-08-12,M,60000,Hobart,Tasmania,Australia,13.0863
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,1912.1544
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,1251.9813
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,3.7363
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,1.8663
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,6.9223
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,1481.9379
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,10.8423
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,1.8663
Christy,Zhu,1968-02-15,F,70000,"North Ryde","New South Wales",Australia,0.8565
Elizabeth,Johnson,1968-08-08,F,80000,Wollongong,"New South Wales",Australia,1912.1544
Elizabeth,Johnson,1968-08-08,F,80000,Wollongong,"New South Wales",Australia,1265.6195
Elizabeth,Johnson,1968-08-08,F,80000,Wollongong,"New South Wales",Australia,8.2205
Elizabeth,Johnson,1968-08-08,F,80000,Wollongong,"New South Wales",Australia,13.0863
Elizabeth,Johnson,1968-08-08,F,80000,Wollongong,"New South Wales",Australia,1481.9379
Elizabeth,Johnson,1968-08-08,F,80000,Wollongong,"New South Wales",Australia,13.0863
Julio,Ruiz,1965-08-05,M,70000,"East Brisbane",Queensland,Australia,1898.0944
Julio,Ruiz,1965-08-05,M,70000,"East Brisbane",Queensland,Australia,1265.6195
Julio,Ruiz,1965-08-05,M,70000,"East Brisbane",Queensland,Australia,13.09
Julio,Ruiz,1965-08-05,M,70000,"East Brisbane",Queensland,Australia,1.8663
Julio,Ruiz,1965-08-05,M,70000,"East Brisbane",Queensland,Australia,0.8565
Julio,Ruiz,1965-08-05,M,70000,"East Brisbane",Queensland,Australia,1481.9379
Janet,Alvarez,1965-12-06,F,70000,Matraville,"New South Wales",Australia,1912.1544
Janet,Alvarez,1965-12-06,F,70000,Matraville,"New South Wales",Australia,1265.6195
Janet,Alvarez,1965-12-06,F,70000,Matraville,"New South Wales",Australia,3.7363
Janet,Alvarez,1965-12-06,F,70000,Matraville,"New South Wales",Australia,1.8663
Janet,Alvarez,1965-12-06,F,70000,Matraville,"New South Wales",Australia,1481.9379
Marco,Mehta,1964-05-09,M,60000,Warrnambool,Victoria,Australia,1912.1544
Marco,Mehta,1964-05-09,M,60000,Warrnambool,Victoria,Australia,1251.9813
Marco,Mehta,1964-05-09,M,60000,Warrnambool,Victoria,Australia,1.8663
Marco,Mehta,1964-05-09,M,60000,Warrnambool,Victoria,Australia,13.09
Marco,Mehta,1964-05-09,M,60000,Warrnambool,Victoria,Australia,8.2205
